data,quantidade_pro,mm,temp_mean
2022-10-16,6716,16,26.758333333333336
2022-10-17,3325,0,21.375
2022-10-18,4000,3,17.279166666666665
2022-10-19,4404,0,23.066666666666666
2022-10-20,4965,26,19.604166666666668
2022-10-21,7226,0,16.7375
2022-10-22,8376,0,20.229166666666668
2022-10-23,6388,0,18.900000000000002
2022-10-24,3319,0,14.983333333333334
2022-10-25,4060,0,22.152173913043477
2022-10-26,4529,0,23.08695652173913
2022-10-27,4536,7,23.266666666666666
2022-10-28,7022,0,26.12608695652174
2022-10-29,8433,17,24.008333333333336
2022-10-30,6262,11,17.349999999999998
2022-10-31,3770,7,23.816666666666666
2022-11-01,5681,0,17.741666666666667
2022-11-02,6860,0,13.924999999999999
2022-11-03,4224,0,20.3125
2022-11-04,7102,0,19.458333333333332
2022-11-05,8747,0,15.950000000000001
2022-11-06,6985,0,24.59166666666667
2022-11-07,4126,0,22.969565217391303
2022-11-08,4568,0,22.6875
2022-11-09,4761,0,22.245833333333334
2022-11-10,5157,0,27.120833333333334
2022-11-11,7051,0,18.804166666666667
2022-11-12,8733,1,25.541666666666668
2022-11-13,6725,14,16.116666666666667
2022-11-14,5435,0,17.133333333333333
2022-11-15,6065,0,19.895652173913046
2022-11-16,3740,0,21.458333333333332
2022-11-17,4351,0,16.754545454545454
2022-11-18,6856,0,19.783333333333335
2022-11-19,7769,0,23.008333333333336
2022-11-20,6491,0,23.295833333333334
2022-11-21,3618,8,19.308333333333334
2022-11-22,3792,7,26.650000000000002
2022-11-23,4124,0,20.620833333333334
2022-11-24,5009,0,23.679166666666664
2022-11-25,7255,0,15.637500000000001
2022-11-26,7849,0,17.743478260869566
2022-11-27,6191,0,20.7375
2022-11-28,3677,0,16.841666666666665
2022-11-29,4288,0,15.483333333333334
2022-11-30,5434,0,22.09583333333333
2022-12-01,5692,0,21.97083333333333
2022-12-02,8038,0,20.608333333333334
2022-12-03,8934,2,18.120833333333334
2022-12-04,6929,0,24.09583333333333
2022-12-05,4673,0,17.920833333333334
2022-12-06,5785,0,16.395833333333332
2022-12-07,6013,0,11.491304347826087
2022-12-08,6405,0,10.756521739130434
2022-12-09,8140,1,8.275
2022-12-10,8726,0,13.5625
2022-12-11,7221,0,19.458333333333332
2022-12-12,4145,0,21.979166666666668
2022-12-13,4657,3,21.75
2022-12-14,5050,0,20.95
2022-12-15,5809,0,19.883333333333333
2022-12-16,7398,0,18.816666666666666
2022-12-17,8151,0,14.0375
2022-12-18,6480,16,10.391304347826088
2022-12-19,4923,0,10.147826086956522
2022-12-20,5734,0,11.841666666666667
2022-12-21,6035,0,15.3375
2022-12-22,6269,0,18.8625
2022-12-23,6914,0,21.758333333333336
2022-12-24,2700,0,24.11304347826087
2022-12-25,4615,10,22.3
2022-12-26,4669,0,13.266666666666666
2022-12-27,5233,4,9.295833333333333
2022-12-28,5020,0,13.129166666666668
2022-12-29,5543,0,13.966666666666667
2022-12-30,6450,0,15.745833333333332
2022-12-31,2083,0,25.895833333333332
