data,Delivery_Actual,Local_Actual,Pickup_Actual,Delivery,Local,Pickup
2023-05-05,2718,107,620,2404.578125,144.6640625,635.3359375
2023-05-06,3411,133,753,2930.8671875,173.921875,710.265625
2023-05-07,2694,54,412,2681.6796875,132.7421875,551.515625
2023-05-08,1460,60,259,1565.53125,80.84375,293.671875
2023-05-09,1447,56,262,1427.8359375,97.8125,344.7890625
2023-05-10,1611,41,288,1636.6953125,106.46875,407.359375
2023-05-11,1654,49,314,1749.7734375,116.5703125,452.140625
2023-05-12,2374,108,549,2788.015625,154.3671875,682.546875
2023-05-13,2899,99,616,2981.28125,171.1015625,741.359375
2023-05-14,2126,51,459,2629.859375,100.0859375,523.53125
2023-05-15,1151,47,230,1294.4296875,89.5703125,285.25
2023-05-16,1297,48,293,1424.9921875,96.6484375,340.34375
2023-05-17,1439,41,320,1648.65625,114.1953125,409.609375
2023-05-18,1523,73,345,1781.0703125,114.078125,429.015625
2023-05-19,2217,84,599,2451.2109375,148.78125,636.1015625
2023-05-20,2728,120,721,2867.3515625,182.390625,733.015625
2023-05-21,2425,51,418,2983.71875,115.4921875,581.75
2023-05-22,866,36,184,1420.015625,82.15625,290.6484375
2023-05-23,1200,35,273,1567.0234375,93.03125,379.265625
2023-05-24,1383,60,336,1771.0546875,111.1171875,425.4140625
2023-05-25,1392,55,339,1872.3203125,118.3828125,448.8125
2023-05-26,2168,84,563,2706.7265625,166.046875,649.84375
2023-05-27,2983,72,679,2990.8046875,155.6875,707.5390625
2023-05-28,2188,29,473,2843.5859375,125.0390625,575.3984375
2023-05-29,1028,44,233,1319.15625,91.7734375,291.4140625
2023-05-30,1502,53,280,1419.6640625,96.578125,343.234375
2023-05-31,1532,48,370,1652.1640625,114.9609375,410.140625
2023-06-01,1609,59,354,1788.15625,107.953125,414.1328125
2023-06-02,2420,80,593,2714.2109375,141.7265625,662.5234375
2023-06-03,3010,141,742,2747.640625,160.0703125,699.6875
2023-06-04,2375,43,492,2650.9765625,115.46875,551.625
2023-06-05,1360,46,276,1218.546875,87.2578125,261.8515625
2023-06-06,1761,37,339,1387.6484375,92.484375,304.2890625
2023-06-07,2396,99,557,2335.625,138.03125,564.828125
2023-06-08,2730,62,536,2723.0625,113.6640625,536.2734375
2023-06-09,2287,87,561,2471.984375,149.21875,626.46875
2023-06-10,2877,132,676,3115.7265625,180.5703125,761.5234375
2023-06-11,2758,43,461,2995.234375,115.34375,604.0703125
2023-06-12,2352,52,619,1415.8125,79.03125,249.40625
2023-06-13,1352,47,223,1607.5859375,107.78125,346.609375
2023-06-14,1760,50,291,1793.890625,102.515625,372.7890625
2023-06-15,1902,41,312,1810.4609375,102.0546875,395.3125
2023-06-16,2593,67,558,2759.0625,143.6171875,666.6953125
2023-06-17,3048,111,706,3285.453125,157.21875,778.6015625
2023-06-18,2350,29,502,2580.7734375,91.28125,504.40625
2023-06-19,1189,43,243,1395.3515625,80.34375,244.453125
2023-06-20,1251,60,305,1416.7890625,90.9609375,316.9765625
2023-06-21,1574,44,318,1638.9609375,102.8515625,391.1328125
2023-06-22,1699,67,386,1832.2421875,100.4140625,390.6484375
2023-06-23,2543,64,544,2760.6796875,128.0234375,619.859375
2023-06-24,2718,129,661,2907.4921875,179.6796875,714.1875
2023-06-25,2215,66,455,2811.625,122.1875,560.828125
2023-06-26,1067,49,255,1280.09375,96.265625,278.1796875
2023-06-27,1289,57,297,1410.46875,78.1640625,334.5234375
2023-06-28,1316,56,302,1634.984375,93.8828125,391.109375
2023-06-29,1549,73,383,1771.484375,107.453125,419.53125
