data,mm,temp_mean,temp_max,temp_min,feriado,qnt_delivery,qnt_pickup,qnt_local
2022-05-16,0.4,10.825,11.433333333333332,10.545833333333333,0,1182,269,84
2022-05-17,1.4,7.483333333333333,7.837499999999999,7.25,0,1492,288,63
2022-05-18,9.4,7.633333333333333,7.75,7.4375,0,1788,369,81
2022-05-19,6.6000000000000005,9.8625,10.2,9.5,0,1685,423,92
2022-05-20,0.2,9.8125,10.504166666666666,8.991666666666667,0,2565,695,153
2022-05-21,0.0,11.841666666666669,12.533333333333331,11.029166666666669,0,3296,871,169
2022-05-22,0.0,12.4875,13.129166666666668,11.845833333333331,0,2584,533,148
2022-05-23,0.0,15.454166666666666,15.995833333333332,14.833333333333334,0,1283,267,81
2022-05-24,0.0,17.837500000000002,18.3625,17.179166666666667,0,1406,371,103
2022-05-25,0.0,19.604166666666668,20.175,18.854166666666668,0,1566,431,127
2022-05-26,0.0,17.741666666666667,18.1125,17.520833333333332,0,1607,417,138
2022-05-27,32.6,16.116666666666667,16.508333333333333,15.820833333333333,0,2943,679,135
2022-05-28,27.8,15.6375,15.8375,15.433333333333332,0,3590,786,157
2022-05-29,52.6,16.395833333333332,16.712500000000002,16.104166666666668,0,3073,528,71
2022-05-30,0.2,14.0375,14.391666666666666,13.854166666666666,0,1328,272,70
2022-05-31,0.0,9.295833333333333,9.791666666666666,8.795833333333333,0,1368,352,89
2022-06-01,14.6,11.35,11.5875,11.1,0,2078,354,122
2022-06-02,2.0,10.3,10.5375,10.120833333333334,0,1883,393,98
2022-06-03,0.0,8.933333333333334,9.104166666666666,8.737499999999999,0,2827,737,104
2022-06-04,0.2,12.275,12.595833333333331,11.758333333333333,0,3608,825,163
2022-06-05,0.0,16.516666666666666,16.8125,16.216666666666665,0,3013,589,114
2022-06-06,22.4,16.599999999999998,16.9875,16.270833333333332,0,1887,341,94
2022-06-07,4.8,15.3,15.608333333333334,15.016666666666666,0,1696,386,133
2022-06-08,0.0,15.3125,15.754166666666668,14.891666666666666,0,1810,428,138
2022-06-09,0.2,13.8375,14.195833333333333,13.520833333333334,0,1933,476,110
2022-06-10,6.0,13.6,14.0875,13.283333333333331,0,2820,648,145
2022-06-11,0.0,6.258333333333333,6.929166666666667,5.833333333333333,1,3781,792,159
2022-06-12,0.0,6.166666666666667,6.641666666666667,5.4,2,3304,565,131
2022-06-13,0.0,8.6625,9.283333333333331,7.833333333333333,0,1364,263,82
2022-06-14,0.0,11.370833333333332,12.083333333333334,10.583333333333334,0,1425,318,81
2022-06-15,0.0,13.1625,13.833333333333334,12.395833333333334,1,2172,538,151
2022-06-16,0.0,18.65,19.2,17.308333333333334,2,2810,559,87
2022-06-17,60.2,18.316666666666663,18.95833333333333,18.008333333333333,0,2613,546,122
2022-06-18,0.0,9.270833333333334,9.933333333333334,8.929166666666667,0,2929,716,155
2022-06-19,0.0,9.3375,9.95,8.549999999999999,0,2498,459,88
2022-06-20,0.0,14.270833333333334,14.845833333333331,13.516666666666666,0,1232,259,62
2022-06-21,0.0,18.2,18.8625,17.537499999999998,0,1414,337,71
2022-06-22,56.8,18.28333333333333,18.683333333333334,17.645833333333332,0,1587,366,83
2022-06-23,28.8,18.2875,18.729166666666668,17.979166666666668,0,1877,376,65
2022-06-24,0.2,19.3,19.566666666666663,19.004166666666663,0,2433,677,151
2022-06-25,0.0,16.7375,17.099999999999998,16.604166666666668,0,2981,799,211
2022-06-26,0.0,13.925,14.35,13.516666666666666,0,2510,476,72
2022-06-27,0.0,17.133333333333333,17.541666666666668,16.7,0,1145,243,88
2022-06-28,0.0,17.743478260869566,18.14782608695652,17.139130434782608,0,1401,291,96
2022-06-29,11.4,11.491304347826087,12.321739130434782,11.065217391304348,0,1469,354,88
2022-06-30,0.2,10.391304347826088,10.991304347826087,9.678260869565218,0,1733,409,117
2022-07-01,0.0,14.156521739130437,14.795652173913044,13.35217391304348,0,2592,636,178
2022-07-02,0.0,20.20833333333333,20.641666666666666,19.633333333333333,0,3141,782,219
2022-07-03,0.0,22.4875,22.95,22.0125,0,2567,520,135
2022-07-04,0.0,22.47083333333333,22.995833333333334,21.98333333333333,0,1315,281,94
2022-07-05,0.0,21.079166666666666,21.566666666666663,20.675,0,1537,381,113
2022-07-06,0.0,20.579166666666666,21.041666666666668,20.14583333333333,0,1948,466,134
2022-07-07,0.0,20.1375,20.65833333333333,19.654166666666665,0,2030,453,129
2022-07-08,0.0,20.454166666666666,21.120833333333334,19.866666666666667,0,2859,682,187
2022-07-09,0.0,20.854166666666668,21.445833333333336,20.39583333333333,0,3273,831,175
2022-07-10,0.0,20.47083333333333,20.929166666666664,20.0125,0,2914,540,116
2022-07-11,0.0,21.9,22.33333333333333,21.491666666666664,0,1432,261,77
2022-07-12,34.4,13.6,14.483333333333334,13.316666666666668,0,1528,309,89
2022-07-13,0.0,11.420833333333334,11.841666666666669,10.7625,0,1466,405,92
2022-07-14,4.4,16.608333333333334,16.9875,16.125,0,1894,381,110
2022-07-15,0.4,21.4625,21.8875,20.866666666666667,0,2759,589,140
2022-07-16,12.2,20.254166666666663,21.041666666666668,19.8875,0,3573,748,131
2022-07-17,0.2,8.325000000000001,8.799999999999999,8.174999999999999,0,2772,486,66
2022-07-18,0.0,10.325,10.775,9.6,0,1460,198,79
2022-07-19,12.8,15.6625,16.216666666666665,15.1375,0,1571,340,117
2022-07-20,0.0,18.329166666666666,18.85,17.712500000000002,0,1691,380,121
2022-07-21,0.0,20.3375,20.75,19.7875,0,1773,456,109
2022-07-22,0.0,21.116666666666667,21.6625,20.654166666666665,0,2464,566,152
2022-07-23,0.0,21.508333333333336,21.9625,20.925,0,2855,724,174
2022-07-24,0.0,21.2375,21.820833333333336,20.72083333333333,0,2447,444,72
2022-07-25,0.0,20.229166666666668,20.8,19.695833333333333,0,1251,256,103
2022-07-26,0.0,20.3125,20.945833333333333,19.625,0,1412,400,120
2022-07-27,0.0,19.89565217391305,20.43478260869565,19.378260869565217,0,1531,396,89
2022-07-28,0.0,20.7375,21.2375,20.183333333333334,0,1658,383,106
2022-07-29,14.0,10.756521739130434,11.68695652173913,10.382608695652175,0,2683,580,124
2022-07-30,0.2,10.147826086956522,10.77391304347826,9.27391304347826,0,3164,831,119
2022-07-31,0.0,13.129166666666668,13.758333333333333,12.445833333333333,0,2605,502,96
2022-08-01,0.0,16.5125,17.066666666666666,15.658333333333331,0,1317,290,92
2022-08-02,0.0,20.2875,20.97083333333333,19.45,0,1411,328,117
2022-08-03,0.0,21.375,21.916666666666668,20.70833333333333,0,1565,390,107
2022-08-04,12.4,19.1125,19.775,18.879166666666663,0,2025,426,79
2022-08-05,0.2,13.141666666666666,13.716666666666669,12.854166666666666,0,2866,730,181
2022-08-06,19.8,10.65,11.008333333333333,10.358333333333333,0,3801,815,123
2022-08-07,24.8,13.295833333333334,13.470833333333331,13.016666666666666,0,3295,498,68
2022-08-08,0.0,15.008333333333333,15.275,14.666666666666666,0,1356,324,77
2022-08-09,3.2,13.954166666666666,14.345833333333331,13.770833333333334,0,1803,340,70
2022-08-10,8.0,10.020833333333334,10.295833333333333,9.783333333333331,0,1694,377,81
2022-08-11,0.2,11.0625,11.558333333333332,10.420833333333333,0,1793,390,81
2022-08-12,0.0,13.75,14.279166666666669,13.1375,0,2555,595,141
2022-08-13,0.0,16.495833333333334,17.0,15.983333333333334,1,2849,740,144
2022-08-14,0.0,17.075,17.620833333333334,16.462500000000002,2,2265,465,68
2022-08-15,0.0,22.70833333333333,23.058333333333334,22.1875,0,1280,260,86
2022-08-16,19.4,18.133333333333333,18.7875,17.837500000000002,0,1474,308,62
2022-08-17,25.6,16.670833333333334,17.154166666666665,16.1875,0,1650,341,73
