data,Local_Actual,Local
2023-05-03,55,87.37927491847006
2023-05-04,62,99.09246318837484
2023-05-05,107,135.22870501713533
2023-05-06,133,144.92658245204268
2023-05-07,54,156.18689981433982
2023-05-08,60,67.74051396964057
2023-05-09,56,94.93498028849842
2023-05-10,41,109.06969290950263
2023-05-11,49,116.57453374365224
2023-05-12,108,118.83763244619996
2023-05-13,99,125.01186569965478
2023-05-14,51,131.76877939804314
2023-05-15,47,81.86215487619589
2023-05-16,48,99.6469887642015
2023-05-17,41,114.06744535828602
2023-05-18,73,125.52191384082818
2023-05-19,84,136.73363108159634
2023-05-20,120,137.74177333859842
2023-05-21,51,139.08953764028843
2023-05-22,36,84.15874324253645
2023-05-23,35,99.65674993575445
2023-05-24,60,116.30449125743763
2023-05-25,55,129.30728772825
2023-05-26,84,139.04576914686618
2023-05-27,72,92.72175116602432
2023-05-28,29,130.33768736354114
2023-05-29,44,75.64909768883973
2023-05-30,53,94.34209095365327
2023-05-31,48,110.08903326375787
2023-06-01,59,121.6504321674484
2023-06-02,80,131.16368034481332
2023-06-03,141,135.9893597540683
2023-06-04,43,142.15666864518812
2023-06-05,46,78.9912949540392
2023-06-06,37,95.97100447477175
2023-06-07,99,125.28636869833304
2023-06-08,62,148.05310719171257
2023-06-09,87,136.45964024593349
2023-06-10,132,143.846660625423
2023-06-11,43,155.25437130865862
2023-06-12,52,74.49936696534786
2023-06-13,47,67.54459900751752
